Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30
400.0	81.71230696421117	82.0609684549272	81.47521715052426	82.40962994564325	82.70250559784472	83.87400820665061	83.55323963519186	83.10695292707533	82.80013081524521	82.63277329970151	82.54909454192966	82.59093392081559	82.46541578415781	82.3259511878714	82.91170249227434	83.24641752336174	83.42772149853408	83.42772149853408	81.18234149832278	82.27016534935683	81.96334323752671	82.25621888972819	82.10280783381313	82.36779056675732	81.3218060946092	81.991236156784	82.95354187116027	82.33989764750004	83.0651135481894	82.53514808230102
412.5	87.90074933879077	89.0386664411053	87.6865531783551	89.05205370113254	89.33318616170436	90.68529942445457	90.48449052404612	89.73480396252126	89.78835300263017	89.2127008214593	88.95834288094193	89.38673520181328	89.05205370113254	88.48978877998888	89.74819122254848	89.62770588230342	90.069485463202	90.05609820317477	87.74010221846402	88.62366138026118	88.74414672050625	88.5834996001795	89.11899000126868	89.37334794178605	87.83381303865463	88.35591617971659	89.69464218243957	88.63704864028841	89.88206382282078	88.78430850058794
442.5	93.01815821323544	94.01430408935994	92.50793715473264	94.79178379755467	95.13193116988987	97.00274171773344	96.5654093818739	95.75148531235754	95.89726275764406	95.22911613341421	95.21696801297367	95.22911613341421	94.64600635226816	94.58526575006545	95.78792967367917	95.60570786707103	95.9944477211684	96.10378080513328	92.84808452706784	94.63385823182762	93.94141536671668	94.41519206389785	94.9132650019601	94.75533943623304	92.76304768398404	93.69845295790583	95.3384492173791	93.9171191258356	95.4842266626656	94.23297025728971
490.0	96.76649160683155	97.29640334658325	95.99466363806278	99.25477281957865	99.7386052776128	102.21536666993052	102.21536666993052	100.57955216895789	100.92514678183943	99.78468455933034	99.39301066473126	99.72708545718342	99.07045569270849	98.57510341424495	100.23395755607635	100.18787827435881	100.97122606355697	101.37441977858543	96.7319321455434	99.89988276362419	99.2893322808668	99.04741605184972	99.72708545718342	100.06116024963558	96.60521412082016	97.7802358046174	99.41605030559003	97.50376011431217	99.23173317871988	97.38856191001832
510.0	94.76420661527663	95.26896962057799	93.71429956424981	96.92459227796644	97.36878372263163	99.97336082998663	99.74116984754801	98.37830973323435	98.8830727385357	97.52021262422204	96.48040083330125	97.17697378061712	96.24820985086262	95.7939231460914	97.5404031444341	97.45964106358588	98.34802395291626	99.01431111991405	94.4512535519898	97.62116522528231	96.70249655563384	96.71259181573987	97.24764060135931	97.57068892475218	94.17868152912706	95.14782649930567	97.04573539923877	94.9358260370791	97.22745008114725	95.09735019877553
560.0	85.85891164839268	86.18011045455933	84.36410181969404	87.18076827377081	87.97141148895025	89.73800492286682	89.76271252334118	88.23084129393101	88.40379449725151	86.81015426665545	85.76008124649525	86.0812800526619	85.64889704436064	85.42652864009142	86.99546127021313	86.58778586238623	87.45255187898874	88.67557810246944	83.7464118078351	86.8966308683157	86.13069525361061	86.27894085645676	86.99546127021313	87.20547587424517	83.93171881139278	84.84590002894402	87.0078150704503	84.33939421921968	86.64955486357212	84.35174801945686
620.0	54.006858185864985	54.683812130242586	52.890323758125305	54.226648427546024	54.71018695924431	56.25751026067883	56.04651162866503	54.903602371923625	55.37834929395467	55.0882261749357	54.91239398159087	55.33439124561846	54.92118559125811	54.47281349822879	55.02668490726501	54.61347925290465	55.80913816764951	55.800346557982266	52.76724122278392	53.81344277318567	53.38265389949083	53.74310989584774	54.19148198887706	54.516771546564996	52.96944824513048	54.58710442390293	56.43334245402366	55.070642955601215	57.075129959732294	55.78276333864778
665.0	47.93791869096458	48.53396522067487	46.61434477940202	48.12199188396335	48.58655756153166	50.0416123252362	49.73482367023826	48.81445770524442	49.357911894097924	49.15630792081356	48.9371731672436	49.42803501524031	49.08618479967117	48.60408834181726	48.735569193959236	48.77939614467323	49.95395842380822	49.66470054909587	46.89483726397157	47.38569911196828	47.078910456970334	47.517179964110255	47.94668408110738	48.20964578539133	46.737060241401196	48.77063075453043	50.48864722251892	49.08618479967117	51.11975531280041	49.89260069280863
673.75	46.828717801719904	47.40884610917419	45.392662483267486	46.66704269964248	47.41835640929639	48.949514728970826	48.51204092334956	47.446887309663	48.23624221980572	48.1126083182171	47.86534051503986	48.33134522102773	47.893871415406466	47.304232807829976	47.73219631332904	47.54199031088501	48.64518512506038	48.52155122347176	45.716012687422335	46.448305796831846	46.115445292554796	46.25809979438782	46.54340879805386	46.98088260367513	45.4972757846117	47.27570190746337	49.16825163178146	47.74170661345124	49.938585941679776	48.53106152359396
681.25	45.729840899817646	46.232536597177386	44.41509830672294	45.88451649900526	46.50321889575571	47.694221009500325	47.48540895059705	46.65789449494332	46.99818081315607	47.03684971295297	46.719764734618366	47.30753201153129	46.75843363441527	46.30214061681181	46.64242693502456	46.44134865608066	47.817961488850415	47.439006270840764	44.747650844976306	45.242612762376666	44.848189984448254	45.38182080164552	45.590632860548794	46.101062337867916	44.55430634599179	46.26347171701491	48.35159230604768	46.88217411376536	48.95482714287937	47.64008454978466
708.75	40.43005165178329	41.00424620322883	39.34245961904526	40.396275501698256	40.92993867304176	42.199921916238964	41.767587195150554	41.051532813347876	41.53790937457234	41.65950351487845	41.36902862414718	42.010775475762784	41.38253908418119	40.95695959310979	41.30823155399412	41.24743448384106	42.47013111691922	41.916202255524695	39.75452865008265	39.97069601062685	39.5991583596915	40.04500354081392	40.132821531035006	40.52462487202138	39.382990999147296	41.01100143324584	42.79438215773553	41.767587195150554	43.469905159436166	42.57821479719132
753.75	36.87635055091232	37.481116940267384	35.44363017613068	36.54516895674169	37.14273574622348	38.24427452683449	37.560312538873404	36.81155415205285	37.121136946603656	37.41632054140791	37.42352014128119	38.17227852810174	37.6467077373527	37.02754214825109	37.481116940267384	37.40912094153464	38.726647718343884	38.34506892506033	36.048396565485746	36.393977359402925	35.92600336764008	36.01239856611937	36.127592164091766	36.285983361303806	35.400432576891035	37.20753214508295	38.81304291682318	38.08588332962245	39.48260570503771	38.97863371390849
761.25	11.447674458380789	11.822516451124102	11.147800864186138	11.522642856929451	11.762541732285172	12.317307881545275	11.732554372865707	11.440177618525922	11.462668138090521	11.54513337649405	11.72505753301084	11.92747220909223	11.934969048947096	11.590114415623248	11.897484849672765	11.889988009817898	12.16737108444795	11.889988009817898	11.36520921997726	11.66508281417191	11.440177618525922	11.455171298235655	11.560127056203783	11.560127056203783	11.065335625782609	11.755044892430305	12.054918486624956	11.979950088076293	12.354792080819607	12.302314201835543
764.375	19.863154627382755	20.313017014414072	18.928825054317713	19.716084231622517	20.07943462114781	20.65041380468756	20.044829822145402	19.620921034365892	19.99292262364179	20.096737020649016	20.131341819651425	20.4254826111719	20.15729541890323	19.92371302563697	20.174597818404436	20.14864421915263	20.814786599949002	20.555250607430935	19.603618634864688	19.543060236610472	19.15375624783337	19.37868744134903	19.404641040600836	19.551711436361074	19.119151448830962	20.105388220399618	20.814786599949002	20.57255300693214	21.45497538149357	21.1954393889755
767.5	32.328427555505186	32.844670980703086	31.01148004224524	32.15985827380791	32.27574965497479	33.67171401903033	32.92368783149868	32.344230925664306	32.66029832884669	32.92895562155172	32.99743689224124	33.69805296929553	33.16073838388547	32.67610169900581	33.06065037287772	33.05011479277164	34.4355435767211	33.31877208547667	31.654150428716093	32.00182457221672	31.432903246488422	31.70156053919345	32.075573632959276	31.922807721421123	31.26960175484419	32.46539009688422	34.18795744422823	33.69278517924249	34.70420086942613	34.377597886137664
778.75	33.57650609873235	34.2499451818876	32.33568133134395	33.48636070964858	33.740888867061585	35.114280383102596	34.15449712285772	33.369701970834285	33.95299566490576	34.2552478518337	34.149194452911615	34.94989761477336	34.39311727043241	33.73028352716938	34.297669211402535	34.196918482426554	35.3635058705695	35.002924314234406	32.802316286601126	33.247740562073886	32.590209488756955	32.850040316116065	33.025028424337506	33.04093643417582	32.43643206031993	33.94769299495965	35.411229900084436	34.679461447522044	36.079366313293576	35.62863936787471
865.0	26.459523970261216	26.977178156375885	25.33547488041222	26.336272973567247	26.617285246029496	27.70189401693642	26.706025963649154	26.114421179518104	26.498964289203286	26.64193544536829	26.71588604338467	27.603293219581246	27.03633863478899	26.503894329071045	27.258190428838134	27.203959990292788	28.165317764505744	27.89909561164677	26.079910900443792	26.311622774228454	25.867919186130166	25.902429465204477	25.9714500233531	26.035540541633964	25.508026275783777	26.888437438756227	27.94839601032436	27.39623154513538	28.682971950620413	28.21954820305109
885.0	24.863781977444887	25.589731816202402	23.96184429898858	24.91877817735076	25.270753856748343	26.43117367476225	25.25425499677658	24.69879337772727	25.012271717190742	25.221257276833057	25.41374397650361	26.282683935016394	25.727222315967083	25.27625347673893	25.996703695505857	25.97470521554351	26.9261394739151	26.38717671483755	24.627298317849636	24.88028083741665	24.445810858160257	24.588800977915525	24.69879337772727	24.63829755783081	24.40181389823556	25.59523143619299	26.59066265448928	26.024201795458794	27.20662009343505	26.90414099395275
900.0	17.10685478243977	17.489018498919904	16.257043360266834	17.126968662254512	17.287879700772464	18.07232101354748	17.096797842532396	16.84034587489441	16.945943743921816	17.252680411096662	17.35827828012407	17.97175161447376	17.780669756233692	17.328107460401952	18.001922434195876	17.866153745446354	18.570139538962394	18.47459860984236	17.111883252393454	17.302965110633522	16.945943743921816	16.950972213875502	17.09176937257871	17.09176937257871	16.76491882558912	17.685128827113658	18.394143090583384	17.936552324797958	18.816534566693008	18.635509648360312
940.0	5.515788057819009	5.574536096304655	5.182882506400347	5.55495341680944	5.571272316388786	5.907441647723317	5.3591266218572855	5.241630544885993	5.3591266218572855	5.496205378323793	5.607173895463347	5.913969207555056	5.799736910499632	5.669185713864863	6.0641030836850405	5.946607006713748	6.266457438468933	6.041256624273956	5.630020354874432	5.842166049405932	5.600646335631609	5.616965235210955	5.708351072855294	5.675713273696601	5.6626581540331244	5.9955637054517865	6.19465428031981	5.923760547302663	6.383953515440226	6.253402318805456
1020.0	19.2688149609603	19.836021456867456	18.471484686713666	19.64479183824733	19.609138858504593	20.669004710856825	19.829539096914232	19.40818569995463	19.08730888227001	19.317432660609484	19.92353331623599	20.581492851488292	20.29951019352302	20.027251075487584	19.930015676189214	20.04993933532387	20.665763530880213	20.639834091067314	19.097032422199845	19.515144639182836	19.109997142106295	19.080826522316784	19.281779680866748	18.947938143275678	18.487690586596727	19.54755643894896	20.41295149270445	20.45508683240041	20.915334389079362	20.81485780980438
Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30
