Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60
400.0	73.81861081440002	74.02780770882964	74.54382671508938	73.274698888883	74.97616696357727	71.99162460304797	71.75453478936106	72.01951752230525	72.32633963413537	71.58717727381736	74.48804087657481	72.78657280188054	74.3485762802884	74.72513069026172	72.64710820559412	71.85216000676155	71.29430162161589	72.13108919933438	74.02780770882964	75.77111516240984	75.64559702575207	74.09754000697285	76.27318770904094	76.67763503827155	77.61204783339053	77.5004761563614	76.94261777121574	75.04589926172048	73.91623603180051	75.28298907540739	76.41265230532736	77.63994075264782	78.63013938628137	77.38890447933227	75.1853638580069	74.20911168400198	74.55777317471802	76.95656423084438	78.71381814405322	78.11412038002163	75.49218596983701	73.91623603180051	74.05570062808692	74.37646919954568	75.84084746055305	77.79335180856287	78.51856770925224	77.94676286447793	77.02629652898759	75.93847267795354	77.90492348559201	76.74736733641475	74.71118423063308	76.3289735475555	75.2550961561501	74.52988025546074	74.27884398214519	74.30673690140247	74.30673690140247	73.73493205662817
412.5	78.06111321877688	78.35563293937594	78.86434882041067	76.89642159640789	79.54709908179939	75.18285231292248	74.58042561169714	75.45059751346707	75.75850449409336	74.59381287172437	78.00756417866796	76.29399489518255	78.06111321877688	77.9807896586135	76.56174009572715	75.15607779286802	74.37961671128869	75.42382299341261	77.51223555766046	79.11870676092803	79.30612840130925	77.83352979831398	80.16291304305196	80.3637219434604	81.55518808588386	81.08663398493081	80.53775632381439	78.27530937921256	76.81609803624451	78.54305457975715	79.8683933224529	81.34099192544818	82.33164916746318	81.0330849448219	78.27530937921256	77.20432857703418	77.76659349817783	80.2298493431881	82.39858546759933	81.80954602640122	78.15482403896749	77.01690693665296	77.09723049681634	77.69965719804168	78.82418704032898	81.16695754509419	81.98358040675521	81.22050658520311	80.09597674291581	79.53371182177216	81.35437918547541	79.90855510253459	77.77998075820506	79.64080990199	78.31547115929425	77.2578776171431	77.76659349817783	77.49884829763323	77.24449035711586	76.28060763515532
442.5	72.73079707752913	72.79153767973185	73.72694295365363	70.3619135916233	74.51657078228891	67.70147521514446	66.18296016007662	67.0333285909146	67.95658574439585	66.08577519655228	71.90472488757223	68.90413913875818	70.98146773409098	69.85169253312051	68.23599251452833	66.2922932440415	65.3811842110008	67.0333285909146	69.39006395637989	71.3823557086289	71.68605871964246	69.66947072651237	73.25316625647247	73.04664820898324	74.41938581876457	74.15212716907263	72.123391055502	69.81524817179888	68.27243687584996	69.9610256170854	71.75894744228572	73.39894370175898	74.44368205964565	73.10738881118596	69.46295267902315	68.44251056201756	68.9648797409609	71.97761361021549	74.83242191374302	74.05494220554829	69.5358414016664	68.11451131012291	68.12665943056345	69.49939704034477	70.20398802589625	73.76338731497526	74.43153393920511	73.14383317250758	72.2084278985858	71.06650457717478	73.59331362880766	71.62531811743975	69.14710154756904	70.99361585453153	69.69376696739346	68.4546586824581	68.57613988686353	68.85554665699601	68.66117672994733	67.75006769690663
490.0	62.8291006218642	63.036457389593124	64.43035566154867	59.99522479623556	66.49240351840854	55.19145967718214	51.712473907507956	53.31372894719243	56.00936692766845	51.35535947419703	61.26240504346788	57.092230048030615	59.684189644642174	55.80201015993953	55.12234075460583	51.35535947419703	50.86000719573349	53.106372179463506	55.68681195564568	57.35718591790646	57.42630484048277	55.652252494357526	61.87295552622527	60.882250969298184	62.78302134014666	62.621743854135275	57.56454268563539	55.5946533922106	52.57646043971181	55.57161375135183	57.253507534042	60.006744616664946	60.859211328439415	59.52291215863079	55.156900215893984	52.910535232163966	53.7860415847972	57.702780530788004	61.21632576175034	60.17954192310572	54.70762721914798	53.07181271817535	53.22157038375735	54.868904705159366	56.14760477282107	60.052823898382485	60.13346264138818	58.77412383072078	58.01381568238139	55.652252494357526	59.856986951082945	56.331921899691224	53.40588751062751	55.53705429006368	54.4657109901309	53.24461002461612	53.21005056332797	53.84364068694413	53.26764966547489	52.42670277412981
510.0	58.5020323144272	58.74431855697185	60.84413265902549	55.978217287920415	62.96413728129119	50.5772531311959	45.8122903611511	47.99286654405296	51.56658862158656	45.27724157553166	56.826219136826694	52.42468573059887	54.645642953924835	50.07249012589455	49.46677451953292	45.53971833828837	45.38828943669796	47.88181868288666	50.05229960568249	51.344492899253964	51.47573128063232	49.900870704092085	56.58393289428204	55.53402584325522	57.43193474318832	57.60355416499078	51.45554076042026	49.517250820063055	46.529053828679025	49.70906076207757	51.5060170609504	54.120689428411424	54.65573821403086	53.12125867791474	49.08315463550389	46.71076851058751	47.619341920129955	51.71801752317697	55.281644340604544	54.13078468851745	48.739915791898966	46.93286423292011	47.20543625578284	48.780296832323074	50.395538449287415	54.191356249153614	53.87840318586677	52.59630515240133	51.78868434391916	49.375917178578675	53.82792688533664	50.17344272695482	47.235722036100924	49.133630936034024	48.043342844583094	46.79153059143573	47.054007354192436	47.55877035949379	47.21553151588887	46.27667232602835
560.0	47.32740870863199	47.54977711290121	49.773461155593395	45.140786066651344	52.41717440634966	39.18625435233116	33.08347703516483	35.937204889953136	39.81629816442728	32.47814082354307	45.51140007376671	40.95284778624773	42.8923944234848	36.72784810513258	36.82667850703001	32.72521682828665	33.08347703516483	35.628359884023666	37.02433931082487	37.85204392671585	38.25971933454275	37.06140071153641	43.31242363154888	42.546488016843796	44.28837385028601	44.63428025692701	38.111473731696606	36.357234098017216	33.281137838959694	36.666079103946686	38.09911993145943	40.606941379606724	40.50811097770929	39.23566955327988	36.048389092087746	33.34290684014559	34.504164062440395	38.024997130036354	41.24933899194002	40.384572975337505	35.20833067595959	33.65175184607506	34.05942725390196	35.36893007904291	36.83903230726719	40.54517237842083	40.11278937011957	38.88976314663887	38.000289529562	36.03603529185057	40.26103497296572	36.81432470679283	34.15825765579939	35.949558690190315	34.615348264575005	33.81235124915838	33.874120250344276	34.405333660542965	33.91118165105581	33.565275244414806
620.0	24.08901048824191	23.948344733566046	24.70442316494882	21.873524852097034	25.08246238064021	20.088828089646995	19.367916096933186	20.06245326064527	19.7723301416263	18.99866849090904	21.592193342745304	20.67786593735218	21.40756953973323	20.598741450347006	19.78991336096078	18.743711810559034	18.400839033536613	19.262416780926287	20.088828089646995	21.61856817174703	21.776817145757377	20.704240766353905	22.110898313112557	22.216397629119456	23.034017328172922	22.990059279836714	21.803191974759102	21.00315549504012	20.044870041310787	20.581158231012523	21.18777929805219	22.102106703445315	22.418604651466012	21.820775194093585	20.4492840860039	19.974537163972855	20.106411308981478	21.196570907719433	23.288974008522928	22.585645235143602	20.29103511199355	19.816288189962506	19.798704970628023	20.106411308981478	20.89765617903322	22.91972640249878	23.24501596018672	22.655978112481534	21.750442316755652	21.636151391081512	23.07797537650913	22.29552211612463	20.880072959698737	22.12848153244704	21.020738714374602	20.704240766353905	20.66907432768494	20.431700866669416	20.598741450347006	20.352576379664242
665.0	17.951519012451172	17.951519012451172	18.30213461816311	16.645475881174207	18.57386171258986	15.707579135894775	15.269309628754854	15.935479279607534	15.304371189326048	14.909928632900119	16.23350254446268	15.856590768322349	16.435106517747045	16.1195524726063	15.40079048089683	14.690793879330158	14.366474444046617	14.743386220186949	15.602394454181194	16.925968365743756	17.13633772917092	16.145848643034697	16.917202975600958	17.153868509456515	17.758680429309607	17.63596496731043	17.06621460802853	16.251033324748278	15.90918310917914	16.163379423320293	16.557821979746222	17.197695460170507	17.381768653169274	16.978560706600547	16.005602400749922	15.593629064038396	15.79523303732276	16.487698858603835	18.06546908430755	17.57460723631084	16.005602400749922	15.40079048089683	15.40079048089683	15.786467647179961	16.391279567033052	17.85509972088039	18.205715326592326	17.811272770166397	16.987326096743345	17.07497999817133	18.18818454630673	17.74114964902401	16.45263729803264	17.45189177431166	16.51399502903223	16.224737154319882	16.28609488531947	16.207206374034286	16.18091020360589	15.874121548607945
673.75	17.06147841922939	17.051968119107187	17.32776682265103	15.739546702243388	17.60356552619487	14.864599091000855	14.493697386234999	15.216480195522308	14.588800387457013	14.227408982813358	15.406686197966337	15.073825693689287	15.615912800654769	15.482768598943949	14.626841587945819	14.046713280491531	13.685321875847876	13.951610279269516	14.96921239234507	16.15799990762025	16.34820591006428	15.42570679821074	16.072407206520438	16.243592608720064	16.842741516418755	16.80470031592995	16.262613208964467	15.387665597721934	15.187949295155704	15.22599049564451	15.777587902732193	16.253102908842266	16.53841191250831	16.20555140823126	15.111866894178092	14.740965189412236	15.045294793322682	15.69199520163238	17.185112320818007	16.80470031592995	15.197459595277905	14.70292398892343	14.63635188806802	14.931171191856265	15.49227889906615	17.099519619718194	17.32776682265103	16.928334217518568	16.262613208964467	16.329185309819877	17.32776682265103	16.966375418007374	15.663464301265776	16.662045814096928	15.872690903954208	15.368644997477531	15.501789199188352	15.368644997477531	15.397175897844136	15.140397794544697
681.25	16.31054193433374	16.27960681449622	16.627626912668347	15.150474940426648	16.79777007177472	14.500837423838675	13.982674166560173	14.647779243066907	13.928537706844509	13.588251388631761	14.732850822620094	14.55497388355434	14.957130441442132	14.771519722416997	14.044544406235218	13.44130956940353	13.178361050784588	13.418108229525387	14.299759144894779	15.575832838192582	15.684105757623911	14.67871436290443	15.43662479892373	15.583566618151963	16.202269014902413	16.03212585579604	15.529430158436298	14.794721062295139	14.500837423838675	14.68644814286381	15.111806040629745	15.715040877461433	15.947054276242852	15.506228818558156	14.624577903188765	14.338428044691682	14.369363164529204	15.142741160467267	16.619893132708967	16.070794755592942	14.647779243066907	14.145083545707166	14.160551105625927	14.377096944488585	14.972598001360893	16.333743274211884	16.77456873189658	16.248671694658697	15.684105757623911	15.784644897095859	16.67402959242463	16.43428241368383	15.019000681117177	16.101729875430465	15.266481639817357	14.910727761685848	14.910727761685848	14.756052162498236	14.848857522010803	14.578175223432481
