Wavelength	Pin 1	Pin 2	Pin 3	Pin 4	Pin 5	Pin 6	Pin 7	Pin 8	Pin 9	Pin 10	Pin 11	Pin 12	Pin 13	Pin 14	Pin 15	Pin 16	Pin 17	Pin 18	Pin 19	Pin 20	Pin 21	Pin 22	Pin 23	Pin 24	Pin 25	Pin 26	Pin 27	Pin 28	Pin 29	Pin 30	Pin 31	Pin 32	Pin 33	Pin 34	Pin 35	Pin 36	Pin 37	Pin 38	Pin 39	Pin 40	Pin 41	Pin 42	Pin 43	Pin 44	Pin 45	Pin 46	Pin 47	Pin 48	Pin 49	Pin 50	Pin 51	Pin 52	Pin 53	Pin 54	Pin 55	Pin 56	Pin 57	Pin 58	Pin 59	Pin 60	Pin 61	Pin 62	Pin 63	Pin 64	Pin 65	Pin 66	Pin 67	Pin 68	Pin 69	Pin 70	Pin 71	Pin 72	Pin 73	Pin 74	Pin 75	Pin 76	Pin 77	Pin 78	Pin 79
400.0	86.23095988389105	86.46804969757795	89.00630534999073	87.19326559826732	86.8864434864372	86.66330013237894	86.85855056717992	87.59771292749792	87.2211585175246	88.4623934244737	87.3885160330683	87.69533814489841	88.18346423190087	89.14576994627714	87.84874920081347	88.50423280335963	87.48614125046879	88.29503590893	88.1276783933863	88.6297509400174	88.67159031890333	88.50423280335963	89.18760932516307	88.69948323816061	88.83894783444703	88.85289429407567	88.65764385927469	89.10393056739122	88.0579460952431	89.31312746182084	89.61994957365096	89.42469913884997	88.47633988410234	88.57396510150284	88.57396510150284	88.29503590893	88.00216025672853	88.43450050521642	88.3926611263305	88.85289429407567	88.16951777227223	88.11373193375766	88.19741069152951	88.5600186418742	88.81105491518974	88.49028634373099	89.02025180961937	89.34102038107812	88.54607218224555	88.53212572261691	88.61580448038876	88.01610671635717	87.70928460452706	87.82085628155619	87.75112398341298	87.40246249269694	87.47219479084015	87.40246249269694	87.84874920081347	87.45824833121151	88.69948323816061	89.36891330033541	89.6338960332796	90.14991503953934	89.75941416993737	90.51252298988402	89.00630534999073	89.85703938733786	89.71757479105145	88.67159031890333	89.60600311402231	90.10807566065341	90.02439690288156	88.71342969778925	90.4706836109981	88.51817926298827	88.16951777227223	88.42055404558778	88.04399963561445
412.5	90.2970688836649	90.44432874396443	93.41630047000945	90.81917202472687	90.71207394450903	90.60497586429119	90.53803956415504	90.95304462499917	91.16724078543484	92.01063816715032	91.1003044852987	91.23417708557099	91.67595666646957	93.10839348938316	91.56885858625174	91.97047638706863	90.9262701049447	92.07757446728647	92.15789802744985	92.25160884764045	92.26499610766768	92.34531966783106	92.9477463690564	91.97047638706863	92.17128528747708	92.15789802744985	92.10434898734093	92.59967760834843	91.42159872595221	92.47919226810336	93.4832367701456	92.82726102881134	92.21144706755877	91.90354008693248	91.79644200671464	91.58224584627897	91.93031460698694	91.90354008693248	91.9570891270414	91.83660378679633	91.58224584627897	91.89015282690525	91.52869680617005	91.94370186701417	91.97047638706863	92.39886870793998	92.42564322799444	92.74693746864796	91.80982926674187	91.66256940644234	92.14451076742262	91.15385352540761	90.9262701049447	91.1940153054893	90.8325592847541	90.52465230412781	90.64513764437288	90.87272106483579	90.77901024464518	90.79239750467241	92.77371198870242	93.32258964981884	93.4832367701456	94.12582525145262	93.67065841052681	94.12582525145262	92.66661390848458	93.81791827082634	93.51001129020005	92.34531966783106	93.00129540916532	93.8446927908808	94.04550169128925	91.97047638706863	94.206148811616	91.89015282690525	91.58224584627897	91.71611844655126	91.00659366510808
442.5	80.80929717049003	80.62707536388189	85.38913857657462	81.40455507207662	80.49344603903592	80.29907611198723	79.20574527233839	80.84574153181165	80.10470618493855	81.50174003560096	80.517742279917	80.80929717049003	81.18588890414685	83.17818065639585	80.6027791230008	81.61107311956584	79.9467806192115	81.22233326546848	81.16159266326576	82.24277538247406	81.53818439692259	81.74470244441181	82.77729268185794	81.50174003560096	81.55033251736313	81.5138881560415	81.73255432397127	82.21847914159298	80.44485355727375	82.64366335701197	83.37255058344454	82.25492350291461	80.97937085665762	81.05225957930088	81.18588890414685	80.44485355727375	80.37196483463049	81.06440769974142	81.39240695163608	80.87003777269274	80.45700167771429	80.35981671418995	80.56633476167917	81.38025883119553	81.30737010855228	81.16159266326576	81.74470244441181	81.82973928749561	80.517742279917	80.72426032740623	81.04011145886034	80.4327054368332	79.46085580158979	80.11685430537909	79.70381821040064	79.37581895850599	79.3515227176249	79.42441144026816	79.81315129436553	79.54589264467359	82.54647839348763	83.7612904375419	84.12573405075818	84.85462127719074	84.1864746529609	84.97610248159617	82.16988665983081	84.36869645956904	83.44543930608779	81.46529567427933	82.78944080229849	84.21077089384198	84.42943706177175	81.24662950634956	84.7574363136664	80.72426032740623	80.25048363022506	81.24662950634956	80.12900242581964
490.0	64.47643494326621	63.8082853583619	71.86063983850181	65.27130255289376	63.87740428093821	63.186215055175126	60.0413040779531	62.46046636812389	60.51361671555787	62.55262493155897	61.33152396604419	63.059497030451894	62.33374834340066	66.15832872595638	61.12416719831526	63.186215055175126	60.225621204823256	62.39134744554758	62.49502582941204	64.30363763682544	63.013417748734355	63.30141325946897	64.14236015081406	63.08253667131066	63.47421056590974	63.15165559388697	62.75998169928789	64.32667727768421	61.33152396604419	64.62619260884821	65.6168971657753	64.07324122823775	62.621743854135275	62.5295852907002	62.61022403370589	61.23936540260911	60.82465186715126	61.90751498751342	61.861435705795884	62.26462942082435	61.273924863897264	61.10112755745649	61.12416719831526	62.55262493155897	62.72542223799974	62.36830780468881	62.5295852907002	63.22077451646328	61.5504005542025	61.23936540260911	61.78079696279019	60.052823898382485	59.880026591941714	59.79938784893602	59.64963018335402	59.03907970059663	59.25795628875494	59.43075359519571	59.93762569408864	59.60355090163648	65.75513501092792	67.344870230183	68.03605945594609	68.53141173440963	67.8056630473584	68.33557478711009	64.15387997124344	67.05687471944839	66.18136836681515	62.230069959536195	64.99482686258852	67.51766753662378	67.75958376564085	62.95581864658743	68.35861442796886	62.17247085738927	61.51584109291434	62.06879247352481	60.467537433840334
510.0	58.047745609655976	56.95745751820505	66.08357265405357	58.966414279304445	57.48241104371846	57.310791621915996	52.101637407206	55.79650260601193	53.12125867791474	55.13021543901414	54.45383301191032	56.42240873258561	55.04945335816592	59.57212988566607	53.56545012257993	55.65516896452755	52.86887717526406	55.01916757784784	55.20088225975633	57.40164896287024	55.412882721982896	56.20031301025301	57.37136318255216	56.05897936876863	56.52336133364588	56.31136087141931	55.44316850230098	57.0886958995834	53.8884984459728	57.704506766051054	58.996700059622526	57.139172200113535	55.382596941664815	55.1907869996503	55.47345428261906	53.71687902417034	53.525069082155824	54.716309774667025	54.716309774667025	55.18069173954427	53.9995463071391	53.36354492045939	53.47459278162569	54.928310236893594	55.49364480283111	55.281644340604544	55.140310699120164	56.220503530465066	54.14087994862348	53.47459278162569	54.13078468851745	52.97992503643036	52.19249474816024	52.48525729123503	51.93001798540354	51.71801752317697	51.45554076042026	51.84925590455532	52.2126852683723	51.95020850561559	59.249081562273204	60.91479947976768	61.79308710899204	61.93442075047642	61.39937196485698	62.15651647280902	57.02812433894724	60.34946491383016	59.319748383015394	54.86773867625743	57.684316245839	60.87441843934357	60.80375161860138	55.71574052516371	61.41956248506904	54.63554769381881	53.96926052682102	54.68602399434894	52.75782931409776
560.0	42.99122482538223	41.79290620237589	52.02185279875994	44.05365164577961	42.26235061138868	41.87938280403614	36.02368149161339	40.606941379606724	36.92550890892744	38.88976314663887	38.16088893264532	40.86637118458748	38.840347945690155	43.905406042933464	37.64202932268381	39.161546751856804	36.55489490181208	38.7538713440299	39.18625435233116	41.37287699431181	39.06271634995937	39.79159056395292	41.15050859004259	39.70511396229267	40.24868117272854	40.23632737249136	38.9885935485363	40.42163437604904	37.5308451205492	41.4964149966836	42.336473412811756	40.74283318221569	38.87740934640169	38.939178347587585	39.136839151382446	37.506137520074844	37.197292514145374	38.27207313477993	38.37090353667736	38.79093274474144	37.802628725767136	36.9502165094018	37.34553811699152	38.28442693501711	39.19860815256834	38.939178347587585	38.86505554616451	39.53216075897217	37.72850592434406	36.90080130845308	37.51849132031202	36.33252649754286	35.863082088530064	36.01132769137621	35.628359884023666	35.653067484498024	35.41834527999163	35.80131308734417	36.24604989588261	35.70248268544674	43.683037638664246	45.017248064279556	46.03025968372822	45.91907548159361	45.4002158716321	45.89436788111925	40.34751157462597	44.510742254555225	42.966517224907875	38.222657933831215	41.23698519170284	44.48603465408087	44.46132705360651	39.346853755414486	45.26432406902313	38.03735093027353	37.382599517703056	38.25971933454275	36.468418300151825
620.0	23.07797537650913	22.620811673812568	25.31983584165573	22.34827177412808	21.600984952412546	21.433944368734956	21.34602827206254	21.917482900433242	21.750442316755652	22.321896945126355	21.548235294409096	22.19002280011773	21.891108071431518	22.45377109013498	21.34602827206254	21.908691290766	21.425152759067714	21.644943000748754	21.57461012341082	21.636151391081512	21.39877793006599	21.873524852097034	22.34827177412808	21.50427724607289	21.372403101064265	21.46031919773668	21.310861833393574	21.636151391081512	21.51306885574013	22.51531235780567	22.251564067788422	21.943857729434967	21.143821249715984	21.266903785057366	21.45152758806944	21.091071591712534	20.78336525335908	21.099863201379776	21.099863201379776	21.152612859383225	21.01194710470736	20.880072959698737	21.06469676271081	21.161404469050467	21.020738714374602	21.45152758806944	21.829566803760827	21.74165070708841	21.1262380303815	21.135029640048742	21.082279982045293	21.029530324041843	20.932822617702186	21.091071591712534	20.871281350031495	20.79215686302632	20.528408573009074	20.73940720502287	21.222945736721158	21.18777929805219	22.093315093778074	22.779060647822917	22.787852257490158	23.552722298540175	22.779060647822917	23.46480620186776	21.34602827206254	23.508764250203967	22.392229822464287	21.01194710470736	21.759233926422894	22.68235294148326	22.840601915493608	21.302070223726332	23.315348837524652	21.055905153043568	21.038321933709085	21.222945736721158	21.091071591712534
665.0	17.434360994026065	17.250287801027298	18.74040412530303	17.02238765731454	16.73312978260219	16.487698858603835	16.540291199460626	17.01362226717174	16.96979531645775	17.390534043312073	16.6805374417454	16.917202975600958	16.829549074172974	16.917202975600958	16.496464248746634	16.812018293887377	16.61917971074581	16.750660562887788	16.496464248746634	16.391279567033052	16.51399502903223	16.750660562887788	16.759425953030586	16.417575737461448	16.303625665605068	16.46140268817544	16.224737154319882	16.46140268817544	16.391279567033052	17.13633772917092	16.73312978260219	16.584118150174618	16.1195524726063	16.154614033177495	16.338687226176262	16.07572552189231	15.953010059893131	15.996837010607123	16.137083252891898	16.084490912035108	15.953010059893131	16.01436779089272	16.093256302177906	16.102021692320704	16.005602400749922	16.1195524726063	16.584118150174618	16.47016807831824	16.137083252891898	16.102021692320704	16.07572552189231	15.96177545003593	16.031898571178317	16.163379423320293	15.979306230321527	15.988071620464325	15.663752185180783	15.672517575323582	16.24226793460548	16.215971764177084	16.698068222030997	16.934733755886555	16.978560706600547	17.495718725025654	16.943499146029353	17.51324950531125	16.251033324748278	17.61843418702483	16.838314464315772	15.96177545003593	16.373748786747456	16.89967219531536	17.101276168599725	16.031898571178317	17.276583971455693	15.874121548607945	15.90918310917914	16.18091020360589	16.198440983891487
673.75	16.42428831104189	16.15799990762025	17.67013762705028	16.13897930737585	15.815629103221	15.796608502976596	15.739546702243388	16.053386606276035	16.100938106887043	16.395757410675287	15.806118803098798	16.062896906398237	15.89171150419861	15.967793905176222	15.634933400899172	15.929752704687417	15.74905700236559	15.901221804320812	15.644443701021373	15.55885099992156	15.577871600165963	15.88220120407641	15.910732104443014	15.55885099992156	15.349624397233129	15.387665597721934	15.283052296377718	15.435217098332942	15.568361300043762	16.100938106887043	15.834649703465402	15.62542310077697	15.083335993811488	15.273541996255517	15.454237698577344	15.273541996255517	15.073825693689287	15.245011095888913	15.168928694911301	15.254521396011114	15.111866894178092	15.197459595277905	15.168928694911301	15.273541996255517	15.111866894178092	15.283052296377718	15.530320099554956	15.55885099992156	15.216480195522308	15.187949295155704	15.330603796988726	15.149908094666898	15.121377194300294	15.264031696133316	15.016763892956078	15.083335993811488	14.883619691245258	14.96921239234507	15.378155297599733	15.378155297599733	15.663464301265776	16.062896906398237	16.01534540578723	16.566942812874913	16.072407206520438	16.576453112997115	15.321093496866524	16.643025213852525	15.95828360505402	15.016763892956078	15.42570679821074	16.034366006031632	16.043876306153834	15.22599049564451	16.34820591006428	15.1594183947891	15.007253592833877	15.368644997477531	15.273541996255517
681.25	15.815580016933382	15.56036527827382	17.02978347055614	15.444358578883111	14.995799341239035	14.964864221401513	14.957130441442132	15.30515053961426	15.397955899126828	15.660904417745769	15.003533121198416	15.281949199736118	15.18914384022355	15.281949199736118	14.872058861888945	15.382488339208066	15.05766958091408	15.096338480710983	14.872058861888945	14.864325081929564	14.902993981726468	15.104072260670364	15.266481639817357	14.80245484225452	14.701915702782571	14.709649482741952	14.508571203798056	14.794721062295139	14.864325081929564	15.405689679086208	15.111806040629745	14.918461541645229	14.32296048477292	14.56270766351372	14.717383262701333	14.539506323635578	14.44670096412301	14.601376563310623	14.43123340420425	14.508571203798056	14.43123340420425	14.44670096412301	14.585909003391862	14.43896718416363	14.493103643879294	14.485369863919914	14.81792240217328	14.80245484225452	14.508571203798056	14.531772543676198	14.454434744082391	14.44670096412301	14.524038763716817	14.624577903188765	14.508571203798056	14.346161824651062	14.19148622546345	14.230155125260353	14.663246802985668	14.67871436290443	15.003533121198416	15.343819439411163	15.274215419776738	15.79237867705524	15.18914384022355	15.831047576852143	14.578175223432481	15.79237867705524	15.18914384022355	14.32296048477292	14.763785942457616	15.274215419776738	15.343819439411163	14.462168524041772	15.490761258639395	14.400298284366727	14.392564504407346	14.593642783351243	14.68644814286381
